Experiment;Citation;Cit;Compiler;Device;Container;Exp_Type;Lab;Comments;Duration_hrs;P_kbar;T_C;fo2_buffer;delta_buffer;melt_fraction;ol;opx;cpx;plag;amph;mag;sp;ilm;bt;ksp;gt;qz;phase_sum;assemblage;SiO2_start;TiO2_start;Cr2O3_start;Al2O3_start;FeO_start;Fe2O3_start;O_start;MgO_start;CaO_start;Na2O_start;K2O_start;H2O_start;xH2O_in;H2O_method;CO2_start;start_density_calculated;start_density_unc;SiO2_liquid;TiO2_liquid;Al2O3_liquid;FeO_liquid;MgO_liquid;CaO_liquid;Na2O_liquid;K2O_liquid;H2O_liquid;liq_density_calculated;liq_density_unc;sol_density
B679;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100277;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;Basalt;27.00000;12.000;1190.000;qfm;0.000;69.300;0.000;13.000;17.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.900;opx cpx;51.680;0.600;0.000;16.400;7.930;0.000;0.000;10.790;9.670;2.240;0.420;2.500;0.000;tabulated;0.000;2706.884845;62.09242637;51.200;0.630;19.400;6.800;5.900;8.420;3.540;0.480;3.500;2597.887499;57.51412042;0.000
B668;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100278;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;Basalt;28.00000;12.000;1150.000;qfm;0.000;53.300;0.000;16.200;23.500;6.900;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.900;opx cpx plag;51.680;0.600;0.000;16.400;7.930;0.000;0.000;10.790;9.670;2.240;0.420;2.500;0.000;tabulated;0.000;2718.540377;61.672137;52.700;0.770;19.500;6.600;4.300;7.500;3.970;0.650;4.500;2537.82273;57.56071136;3238.000
B725;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100279;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;Basalt + 5% hydrous Fo90;22.00000;12.000;1250.000;qfm;0.000;97.200;2.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;ol;51.131;0.570;0.000;15.610;7.107;0.827;0.000;12.843;9.187;2.128;0.399;5.000;0.000;tabulated;0.000;2559.591473;76.08864878;49.300;0.520;14.900;7.740;10.900;8.710;2.450;0.350;5.400;2517.112377;76.0772509;0.000
B736;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100280;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;Basalt + 5% hydrous Fo91;16.00000;12.000;1230.000;qfm;0.000;83.500;8.600;0.300;7.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;ol opx cpx;51.131;0.570;0.000;15.610;7.107;0.827;0.000;12.843;9.187;2.128;0.399;5.000;0.000;tabulated;0.000;2566.383551;75.82340569;48.400;0.610;17.100;7.960;7.920;9.130;3.000;0.410;5.800;2499.133004;73.25548388;0.000
B706;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100281;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;26.00000;12.000;1230.000;qfm;0.000;95.700;0.000;4.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2497.342979;66.34393544;54.400;0.560;14.100;5.930;7.500;7.770;3.100;0.730;4.900;2486.755947;65.31766169;0.000
B705;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100282;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;25.00000;12.000;1190.000;qfm;0.000;88.000;0.000;7.200;4.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2509.580624;65.8416443;54.500;0.600;15.100;5.290;6.150;7.530;3.360;0.790;6.100;2427.114103;67.31992473;3260.000
B702;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100283;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;25.00000;12.000;1150.000;qfm;0.000;79.500;0.000;9.700;10.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2521.938794;65.33440619;55.600;0.630;16.200;4.940;4.610;6.800;3.380;0.860;5.500;2449.666119;61.03517913;0.000
B707;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100284;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;28.00000;12.000;1110.000;qfm;0.000;71.900;0.000;11.600;16.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2534.41928;64.82214768;56.400;0.640;17.100;4.840;3.340;6.060;3.650;0.960;7.200;2378.083436;64.38625004;0.000
B708;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100285;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;32.00000;12.000;1070.000;qfm;0.000;62.100;0.000;14.000;23.900;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2547.023907;64.30479385;58.000;0.620;18.200;3.930;2.080;5.130;4.190;1.090;7.000;2375.643648;59.72251003;0.000
B720;Muentener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658. DOI: 10.1007/s004100100286;Muentener2001;LC;PC;AuPd;EQ;Phase compositions analyzed at MIT;High Mg# andesite;42.00000;12.000;1030.000;qfm;0.000;63.200;0.000;14.700;22.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx;57.790;0.600;0.000;14.460;5.740;0.000;0.000;9.140;8.170;3.110;0.710;5.000;0.000;tabulated;0.000;2559.754535;63.78226832;57.700;0.630;18.200;3.480;1.980;5.270;3.880;1.030;8.800;2316.125472;65.94724341;0.000
D29/1;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;235.00000;2.030;850.000;nno;1.800;47.000;0.000;8.000;0.000;40.000;0.000;5.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;4.599;0.790;saturated;0.000;2380.781543;48.42329797;73.091;0.281;11.423;1.263;0.384;1.955;2.713;2.357;6.450;2148.114593;47.29202652;0.000
D29/2;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;322.00000;2.130;876.000;nno;0.900;59.000;0.000;5.000;0.000;27.000;6.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag amph mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;6.042;1.000;saturated;0.000;2320.322102;54.5260842;68.191;0.300;14.106;2.215;0.300;3.350;3.379;1.811;6.150;2190.62942;48.64546329;0.000
D29/3;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;322.00000;2.130;876.000;nno;0.900;54.000;0.000;7.000;3.000;33.000;0.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx plag mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;5.320;0.890;saturated;0.000;2347.83655;51.65640211;68.252;0.335;13.109;2.495;0.540;2.895;3.286;2.030;6.900;2162.672883;51.68432105;0.000
D29/4;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;322.00000;2.130;876.000;nno;0.800;44.000;0.000;11.000;0.000;42.000;0.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;4.853;0.810;saturated;0.000;2366.193245;49.74184876;69.499;0.336;12.441;2.382;0.318;2.232;3.820;2.260;6.600;2162.520605;49.26694809;0.000
PID/4;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;270.00000;2.150;902.000;nno;0.800;55.000;0.000;9.000;0.000;33.000;0.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;4.774;0.790;saturated;0.000;2363.411347;49.68195755;68.969;0.340;13.424;3.115;0.519;2.823;3.077;2.020;5.600;2211.29531;46.41680064;0.000
PID/5;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;123.00000;1.980;900.000;nno;0.600;68.000;0.000;5.000;1.000;23.000;0.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx cpx plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;5.808;1.000;saturated;0.000;2304.101441;53.02767794;65.857;0.350;14.355;3.534;1.011;4.054;3.827;1.342;5.500;2238.462484;48.37006293;0.000
PID/6;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;123.00000;1.980;900.000;nno;0.500;57.000;0.000;9.000;0.000;32.000;0.000;2.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;5.082;0.880;saturated;0.000;2331.904227;50.08916321;66.632;0.344;13.518;3.286;0.735;3.268;3.547;1.639;6.900;2171.252472;53.08527381;0.000
D29/6;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;302.00000;2.210;903.000;nno;0.600;66.000;0.000;8.000;0.000;22.000;1.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag amph mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;6.168;1.000;saturated;0.000;2309.932742;55.3276549;67.230;0.422;14.186;2.830;0.225;3.945;3.280;1.434;6.300;2193.772265;50.2738292;0.000
D29/7;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;302.00000;2.210;903.000;nno;0.500;55.000;0.000;9.000;0.000;33.000;1.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;5.434;0.890;saturated;0.000;2338.042127;52.40913533;67.766;0.501;14.118;2.892;0.198;3.355;3.440;1.994;5.500;2219.548061;46.20928687;0.000
D29/9;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;302.00000;2.210;903.000;nno;0.400;49.000;0.000;10.000;0.000;38.000;1.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;4.844;0.790;saturated;0.000;2361.447536;49.97901655;68.512;0.475;12.615;3.072;0.372;2.495;3.221;2.290;6.900;2159.606211;51.4717522;0.000
D29/11;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;327.00000;2.110;902.000;nno;0.100;65.000;0.000;9.000;0.000;23.000;1.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;62.190;0.500;0.000;17.490;6.390;0.000;0.000;2.280;6.350;3.590;1.060;6.003;1.000;saturated;0.000;2314.56701;54.68375073;67.862;0.386;13.621;3.740;0.462;3.033;3.071;2.025;5.800;2214.209069;47.71136547;0.000
PIR/13;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;216.00000;2.270;930.000;nno;2.100;74.000;0.000;3.000;0.000;20.000;1.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;62.060;0.430;0.000;17.480;6.210;0.000;0.000;2.270;6.500;3.670;1.080;5.553;0.890;saturated;0.000;2325.969038;53.25168752;65.292;0.404;14.965;3.497;1.119;4.258;2.989;1.241;6.000;2222.025145;51.40144861;0.000
PIR/15;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;216.00000;2.270;930.000;nno;2.000;55.000;0.000;6.000;0.000;37.000;0.000;2.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;62.060;0.430;0.000;17.480;6.210;0.000;0.000;2.270;6.500;3.670;1.080;4.555;0.720;saturated;0.000;2366.128724;49.09711501;67.609;0.363;12.978;3.417;0.773;3.026;2.774;2.011;6.900;2166.246124;53.08050173;0.000
PIR/19;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;238.00000;2.130;930.000;nno;1.000;58.000;0.000;6.000;0.000;35.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;62.060;0.430;0.000;17.480;6.210;0.000;0.000;2.270;6.500;3.670;1.080;4.397;0.720;saturated;0.000;2370.160645;48.42981133;65.310;0.512;13.732;4.190;0.810;3.696;2.886;1.815;6.900;2183.852354;54.3844938;0.000
PID/18;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;256.00000;2.210;930.000;nno;0.700;54.000;0.000;9.000;0.000;35.000;1.000;2.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;opx plag amph mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;4.890;0.790;saturated;0.000;2336.484318;49.5828259;65.876;0.478;13.582;4.540;0.732;3.461;3.077;1.829;6.200;2212.291741;51.0452299;0.000
PID/22;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;48.00000;2.130;951.000;nno;0.900;95.000;0.000;0.000;0.000;4.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;6.045;1.000;saturated;0.000;2284.994953;54.533719;59.180;0.448;16.020;5.626;2.062;5.458;3.331;0.970;6.700;2241.488923;58.81302426;0.000
PID/23;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;48.00000;2.130;951.000;nno;0.800;81.000;0.000;4.000;0.000;14.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;5.178;0.860;saturated;0.000;2318.605339;51.01091369;61.092;0.497;15.161;5.650;1.537;4.938;3.504;1.209;6.300;2244.738115;55.38950734;0.000
PID/24;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;48.00000;2.130;951.000;nno;0.700;76.000;0.000;5.000;0.000;18.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;4.839;0.800;saturated;0.000;2332.152835;49.59096008;61.511;0.456;14.598;5.521;1.415;4.599;3.519;1.220;6.900;2213.294319;57.38677475;0.000
PID/25;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;48.00000;2.130;951.000;nno;0.700;68.000;0.000;6.000;0.000;25.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;4.514;0.740;saturated;0.000;2345.407783;48.20166931;62.410;0.570;14.393;5.492;1.233;4.371;3.400;1.317;6.600;2220.349622;55.45068587;0.000
PID/32;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;53.00000;2.170;1041.000;nno;2.600;100.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;101.000;amph ;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;4.873;0.800;saturated;0.000;2310.556998;50.64560927;56.792;0.428;15.669;5.922;2.013;5.876;3.434;0.893;8.900;2139.095431;69.94096159;0.000
PID/33;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;71.00000;3.130;925.000;nno;0.800;76.000;0.000;6.000;0.000;18.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;101.000;opx plag ;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;7.758;1.000;saturated;0.000;2248.616749;60.54184414;61.867;0.494;14.928;5.271;1.176;4.656;3.508;1.241;6.700;2242.589419;55.63052849;0.000
PID/34;Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470. DOI: 10.1029/1999JB900191;Martel1999;LC;IHPV;Pt;EQ;Centre de Recherches sur la Synthese et la Chimie des Mineraux, Centre National de la Recherche Scientifique Orleans France;Nothing;71.00000;3.130;925.000;nno;0.600;55.000;0.000;11.000;0.000;34.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag;63.170;0.460;0.000;17.760;5.470;0.000;0.000;1.980;6.270;3.670;1.140;6.661;0.880;saturated;0.000;2287.259792;56.48800021;69.890;0.560;14.600;4.740;0.840;3.910;3.610;1.700;5.800;2257.297798;47.92143597;0.000
133;Takagi, D., Sato, H., and Nakagawa, N. (2005) Experimental study of a low-alkali tholeiite at 1-5kbar:optimal condition for the crystalization of high-An plagioclase in hydrous arc tholeiite. Contrib Mineral Petrol 149 527-540. DOI: 10.1007/s00410-005-0666-7;Takagi2005;LC;IHPV;AuPd;EQ;Kobe University;Reporting 27h duration as sufficient to obtain equilibrium based on An87 composition in early stages of different runs;18.50000;1.000;1200.000;nno;0.000;98.000;0.000;0.000;0.000;2.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;plag;52.000;0.740;0.000;17.450;10.940;0.000;0.000;6.500;9.720;2.180;0.210;0.300;0.000;tabulated;0.000;2680.273392;42.61743111;54.590;0.730;16.820;8.370;6.770;9.470;2.130;0.260;0.700;2593.697291;43.76392077;0.000
129;Takagi, D., Sato, H., and Nakagawa, N. (2005) Experimental study of a low-alkali tholeiite at 1-5kbar:optimal condition for the crystalization of high-An plagioclase in hydrous arc tholeiite. Contrib Mineral Petrol 149 527-540. DOI: 10.1007/s00410-005-0666-7;Takagi2005;LC;IHPV;AgPd;EQ;Kobe University;Reporting 27h duration as sufficient to obtain equilibrium based on An87 composition in early stages of different runs;20.00000;1.000;1150.000;nno;1.300;95.000;1.000;0.000;0.000;4.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;ol plag;52.000;0.740;0.000;17.450;10.940;0.000;0.000;6.500;9.720;2.180;0.210;2.000;0.000;tabulated;0.000;2578.898304;51.77890326;52.890;0.710;16.370;9.270;6.540;9.340;2.080;0.230;2.400;2512.893638;53.04776888;0.000
